TransactionAmount,CustomerAge,TransactionDuration,LoginAttempts,AccountBalance,TransactionType,Location,Channel,CustomerOccupation,Cluster_Final
14.09,70.0,81.0,1.0,5112.21,Debit,San Diego,ATM,Doctor,3.0
376.24,68.0,141.0,1.0,13758.91,Debit,Houston,ATM,Doctor,3.0
126.29,19.0,56.0,1.0,1122.35,Debit,Mesa,Online,Student,2.0
184.5,26.0,25.000000000000004,1.0,8569.06,Debit,Raleigh,Online,Student,2.0
13.45,26.0,198.0,1.0,7429.4,Credit,Atlanta,Online,Student,2.0
92.15,18.0,172.0,1.0,781.68,Debit,Oklahoma City,ATM,Student,2.0
7.08,37.0,139.0,1.0,13316.71,Credit,Seattle,ATM,Doctor,3.0
171.42,67.0,291.0,1.0,2796.24,Credit,Indianapolis,Branch,Retired,0.0
106.23,51.0,86.0,1.0,9095.14,Credit,Detroit,Branch,Engineer,1.0
815.96,55.0,120.0,1.0,1021.8800000000001,Debit,Nashville,ATM,Doctor,3.0
17.78,52.0,59.00000000000001,1.0,7599.5199999999995,Credit,Albuquerque,Online,Engineer,1.0
190.02,21.0,173.0,1.0,1528.81,Debit,Memphis,Online,Student,2.0
494.52,24.0,111.0,1.0,1620.02,Credit,Mesa,Branch,Student,2.0
781.76,26.0,123.0,1.0,189.69,Debit,Memphis,ATM,Student,2.0
166.99,18.0,134.0,1.0,299.93,Debit,Louisville,Online,Student,2.0
465.45,36.0,129.0,1.0,3465.54,Debit,Denver,ATM,Engineer,1.0
555.8,19.0,158.0,1.0,1131.26,Credit,Austin,Branch,Student,2.0
492.93,39.0,234.0,1.0,5109.97,Debit,Columbus,Online,Engineer,1.0
18.68,59.0,106.0,1.0,7948.369999999999,Credit,Albuquerque,Branch,Retired,0.0
71.48,18.0,169.0,1.0,6568.59,Credit,Columbus,Online,Student,2.0
59.32,71.0,37.99999999999999,1.0,5750.89,Debit,Los Angeles,Branch,Retired,0.0
85.77,38.0,93.0,1.0,9146.19,Debit,Las Vegas,Branch,Doctor,3.0
52.2,39.0,120.0,1.0,8974.93,Debit,Atlanta,Online,Engineer,1.0
145.54,21.0,96.0,1.0,1930.96,Debit,Raleigh,Online,Student,2.0
7.49,65.0,276.0,1.0,3634.67,Credit,Houston,Online,Retired,0.0
40.32,37.0,95.0,1.0,2686.52,Debit,Milwaukee,Branch,Engineer,1.0
127.45,44.0,197.0,1.0,1772.06,Debit,Las Vegas,Online,Doctor,3.0
56.17,27.0,283.0,1.0,1351.69,Debit,Detroit,Branch,Student,2.0
28.31,59.0,20.0,1.0,8334.47,Credit,Miami,Online,Doctor,3.0
59.12,29.0,257.0,1.0,9823.64,Debit,Baltimore,ATM,Doctor,3.0
877.81,22.0,150.0,1.0,399.0,Debit,Los Angeles,Online,Student,2.0
255.26,45.0,50.00000000000001,1.0,14815.87,Credit,San Francisco,Branch,Doctor,3.0
